amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta_x,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,sharpe_ratio_new,alpha_y,beta_y,max_drawdown,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,0.8546684344283564,2.1255415769052126,-0.3323764400599477,-0.7110762759776457,1.0,0.975,0.875,0.5,0.925,88.625
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,0.9631154227732589,4.011167197443385,-0.7672755020707462,-0.7723115616761284,0.875,1.0,1.0,0.3625,1.0,86.68749999999999
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,0.846176098321205,2.3187995516428916,-0.8895424949066395,-0.7506425862601451,0.75,0.95,0.975,0.475,0.975,82.625
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,0.8412064006847989,1.9163421638456852,-0.6405865079807023,-0.7104405906674145,0.825,0.925,0.775,0.65,0.875,81.87500000000001
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,0.7653821542100568,1.4125639473281701,-0.5532341651520687,-0.7420665171054825,0.775,0.8,0.7,0.6,0.95,75.75
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,0.8018134950152758,2.0284877906601095,0.03944181066303877,-0.702055269970222,0.65,0.85,0.85,0.6,0.85,75.25
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,0.8203653171065477,2.211732469162742,0.6250661847358179,-0.697325353647861,0.6,0.9,0.925,0.45,0.825,74.00000000000001
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,0.5374125487980916,1.3010067278056823,1.6828265990734395,-0.5257422117012851,0.975,0.525,0.6,0.8875,0.475,72.43749999999999
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,0.6562905221642785,1.582260961492336,0.8986421221179386,-0.5800117577049305,0.9,0.725,0.75,0.3125,0.6,70.81250000000001
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,0.8039265006406112,1.394588512135564,-0.739632417620796,-0.7108350846434639,0.8,0.875,0.65,0.075,0.9,69.0
