amfi_code,scheme_name,var_95,cvar_95
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.03782445343838741,-0.08465826208914769
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.010334188895655669,-0.031395549144542456
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.03219872884921721,-0.12286303258380799
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.04152865685142481,-0.11129216266073133
101207,ABSL Small Cap Fund - Regular - Growth,-0.06454179576791898,-0.1286986047647179
101208,ABSL Liquid Fund - Regular - Growth,0.0,-0.001747271918497366
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.024638905877446028,-0.08527576506449513
102886,UTI Mid Cap Fund - Regular - Growth,-0.052963857686554726,-0.09790176382566543
102887,UTI Flexi Cap Fund - Regular - Growth,-0.03268439764967159,-0.11258074968086514
118632,Nippon India Large Cap Fund - Regular - Growth,-0.03477717076920977,-0.117795839672578
118633,Nippon India Large Cap Fund - Direct - Growth,-0.03348675698947559,-0.09181175217930237
118634,Nippon India Small Cap Fund - Regular - Growth,-0.05983829173583683,-0.12563533375069452
118635,Nippon India ETF Nifty 50 BeES,-0.021928222020272125,-0.08746158371949021
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.010974764755128057,-0.038415263638049264
119092,Axis Bluechip Fund - Regular - Growth,-0.035984846584744754,-0.07443978372095296
119093,Axis Bluechip Fund - Direct - Growth,-0.03820378872211617,-0.08750286361863945
119094,Axis Midcap Fund - Regular - Growth,-0.046615375024534646,-0.143529432248998
119095,Axis Small Cap Fund - Regular - Growth,-0.07204815914844011,-0.1387471292996562
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.009213451727923155,-0.0327630237247735
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.02924445035419195,-0.11500168123985453
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.028213727924424073,-0.09687556811639197
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.07729367503829626,-0.17066946576362305
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.07742105529665412,-0.1414878320293468
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.03019178259611354,-0.10422691673641907
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.03824268361560919,-0.11958118953966651
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.03435021535179109,-0.15280827352865078
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.03575543931496097,-0.09239536699419883
120507,ICICI Pru Liquid Fund - Regular - Growth,0.0,-0.0019906579630760593
120841,Kotak Bluechip Fund - Regular - Growth,-0.03497295940580362,-0.09181205141111648
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.04772100359238552,-0.08919841438026634
120843,Kotak Flexicap Fund - Regular - Growth,-0.038551261499208185,-0.14682559680037746
120844,Kotak Liquid Fund - Regular - Growth,0.0,-0.0018918486481495117
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.03755284454806697,-0.11436931442205392
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.044240711438389715,-0.09619452014603652
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.014165569433725463,-0.13473545208906748
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.032078947273040545,-0.115630444680552
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.04223871551728594,-0.13791495435636833
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.03216923285479303,-0.09428967292871586
149323,DSP Midcap Fund - Regular - Growth,-0.04502762784658995,-0.12987629116896143
149324,DSP Small Cap Fund - Regular - Growth,-0.0678611414839499,-0.16285899736774273
